id,Title,label
1314,물류기능 인력 양성사업 지원학교 추가 모집,0
572,"[2014 연비왕]""시야를 넓게 보고 일정 속도를 유지하는 것이 비결""",0
423,"에쓰오일, '올해의 시민영웅' 34인 선정…1억4000만원 전달",0
1527,이프타르(Iftar)를 아시나요?,0
78,[굿모닝 증시]지수 추가하락 제한적… 조정 때 '비중확대' 고려,0
1634,"홍란, 골프여제 앞에서 '선두'",0
855,국제유가 상승·실적 개선세 지속 기대…정유株 동반 상승,1
183,"대기업, 국내매출 줄고 해외매출 의존도 커져",-1
233,"S-OIL, '세계 환경의 날' 맞아 생태보호 위해 2억5000만원 전달",1
1571,"[김맹녕의 골프영어산책] 나라별로 다른 ""화장실 어디예요?""",0
1069,"신한금융투자, 해외옵션 런칭 기념 세미나·이벤트",0
476,대우조선 기술 적용' 세계 첫 LNG 컨테이너선 인도,1
1412,공덕동 주민의 힘으로 청년의 꿈 자란다,0
633,"S-OIL, 제주 순직소방관 유족에 위로금 3000만원",0
296,워킹맘 주인공' 에쓰오일 새 광고 공개 2주만에 조회수 250만건,0
1633,"전인지 ""파6홀에서 생긴 일""",0
829,유가 2년만에 최고…에너지전쟁 본격화되나,1
59,"백운규 장관, 사우디 에너지장관 면담…원전수주 의지 표명",1
899,1부리그 입성한 韓증시…2017 팀 코리아 '어닝 일레븐'은?,1
619,[이번 주 유가흐름] 휘발유·경유 하락,-1
425,"젠하이저, ""다이내믹 마이크 e835s 체험단 모집""",0
1039,"한국투자證 ""S-oil, 현시점이 매수 적기""",1
62,[금주의 금융상품]새 카드로 주유소 할인·편의점 쿠폰 '팍팍',0
699,▶사우디 아람코 공모주 청약만 52조?! 국내 관련주 잡으세요,1
1131,국제유가 연중 최고‥정유株 동반 강세,1
1367,함평군 ‘제8회 전남여성미술작가 회원전’13일 개막,0
226,"현대차 i30 N TCR, 세계 투어링카 대회 WTCR 6라운드서 우승",0
213,"S-Oil, 장애 청소년에 학습용 맞춤 보조기구 지원",0
1488,"톱5 독식' 김환기, 저력은 계속된다",0
126,대우조선 기술 적용' 세계 첫 LNG 컨테이너선 인도,1
167,"NH농협카드,‘NH투자증권 CMA체크카드’출시",1
1608,"박지영, 선두 ""이번에는 내가 신데렐라""",0
1056,"[출발전략]오일머니, 국내서 이탈…코스피 영향은?",-1
1258,"현대건설, 이라크 카르발라 원유정제 프로젝트 LOA 접수",1
309,"S-Oil, 보육원 청소년에 '홀로서기 장학금'",0
16,‘월미공원 흙’ 미 참전용사 기념공원 전달,0
980,"하방 경직성 확보한 유가, 조선·정유주 '반짝'",1
1099,"장 종료 후 ""이 공시 눈에 띄네""(코스피-3일)",1
228,"현대차 고성능N 라인업, 24시간 내구 레이스 완주 성공",0
1042,"[특징주]SK이노베이션·S-Oil, 외인 매도에 하락",-1
518,"S-OIL, 우수 주유소·충전소 '챔피언스클럽' 시상",1
1242,1Q 화학 업종내 종목별 실적 온도차 심화<하이투자證>,0
1626,"프로대회 ""최고의 명당은 티잉그라운드""",0
790,"키움증권, 연 18% 수익 추구 ELS 출시",1
1471,부산에 뜬 천경자 작품…서울옥션 2017 부산세일,0
1169,"[머니VIEWS]오일펀드, 몰빵보다 끊어 사라",1
165,"하나카드, 모바일카드 결제시 최대 5000원 캐시백",0
1457,"서울옥션 홍콩세일, 김환기 '모닝스타' 포함 240억 원 규모 출품",0
214,"정유업계, 2년 육아휴직 남성 처음 나와",0
762,"웰크론강원, 웰크론한텍과 99억원 규모 보일러패키지 제작계약",1
635,"S&TC, 국내 최초 배열회수 보일러 ‘슈퍼 모듈’ 방식 수출",1
1232,"대기업 그룹 계열사, 20%가 부실기업",-1
967,"코스피, 내년에는 박스권 뚫는다",1
485,"담배꽁초, 기름띠'가 화장품?…뷰티업계, 역발상 작명 열풍",0
1494,뇌 난치병 치료 '로렌조' 오일…실마리 찾았다,1
38,[2019 국감]가짜석유·품질부적합 주유소 기승…SK·GS 등 대기업 80% 이상,-1
1108,"장 종료 후 ""이 공시 눈에 띄네""(코스닥-1일)",1
1418,휘발유 ℓ당 1826원… 9주째 하락,-1
414,30대 그룹 관료 출신 사외이사 비중 43%…전년比 1.8%p↑,1
111,"S-Oil, 작년 4분기 흑자전환…영업이익 806억원",1
655,"사우디 아람코, 한진 보유지분 매입 ""S-OIL 성장 지원""",1
1325,[한반도 삼국지]①미·중·러 파워게임의 중심에 놓인 북한 '송유관',1
1466,"[아경갤러리] 조선 선비, 세계로 통하는 門을 열다",0
923,"S-Oil, 1분기 영업익 3239억…전년비 34%↓",-1
736,[주간증시전망] 짙어진 관망세…인내가 필요한 시점,-1
690,"숨통 트는 정유, 숨죽이는 철강·화학",-1
530,"빕스, 18주년 한정판 메뉴 ‘1997 스테이크’ 출시",0
774,"[클릭 e종목]S-Oil, 3년간 실적 개선 전망…목표가 ↑",1
1530,[전시 소식]'한국현대판화 명품전' 外,0
758,"[특징주]S-Oil, 4분기 실적 우려에 신저가 기록하며 하락",-1
1549,"[골프토픽] S-OIL챔피언십 ""안개 때문에 1라운드 취소""",0
1292,오피스텔 투자에 성공하고 싶다면 '마곡2차 오드카운티'를 주목하라!,0
421,[2017년 산업전망]석유화학 업종 내년에도 '맑음',1
70,"백 장관 ""석유화학 업계, 첨단소재 개발해야""",0
1200,"[특징주]SK이노베이션·S-Oil, 정유업황 부진 우려에 '52주 신저가'",-1
830,"S-Oil, 8880억원 규모 납사 공급 계약 체결",1
